id,Make,Acceleration 0 - 100 km/h,Top Speed,Electric Range,Total Power,Total Torque,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Maintenance Cost,Battery Capacity,Pincode,Date,Time,Month,Location Longitude,Location Latitude
40,BMW,4.8,244,228.2,364,463,74.0,4451,1896,1483,2911,2863,442,526,4,1949.2505333333334,50,364201,2024-01-01,16:12:28,Apr,120.356132,80.46834
41,Polestar,5.1,269,330.3,446,497,78.5,4649,1892,1453,2759,2916,583,475,5,1113.1140666666665,78,626873,2024-02-06,03:53:16,May,59.000572,41.914254
42,BMW,4.9,248,398.1,427,406,78.8,4295,1886,1468,2847,2814,446,410,5,2041.2934666666667,98,413817,2023-04-25,10:36:32,Jun,5.312527,-72.775803
43,Volkswagen,4.1,232,290.6,287,322,72.0,4479,1865,1442,2929,3106,467,512,7,1649.7656000000002,73,140508,2023-05-20,19:47:18,Dec,-67.225196,51.606939
44,Polestar,7.9,342,322.3,337,272,78.9,4323,1814,1400,2736,2791,435,537,5,1769.6902666666665,80,896243,2020-07-28,05:11:30,Sep,128.975606,-64.845066
45,Tesla,4.9,262,290.4,255,369,73.9,4639,1801,1401,2960,2794,406,525,4,1306.9465,63,797888,2023-09-14,21:11:58,Mar,-169.912944,-34.771528
46,Volkswagen,3.6,199,282.4,308,302,74.5,4676,1869,1431,2903,3095,600,516,7,985.866,72,713432,2021-01-07,10:39:40,Aug,-83.345986,-49.300328
47,Polestar,6.2,277,294.9,484,642,71.5,4618,1876,1410,2864,2982,552,417,5,1240.2478666666666,71,158438,2023-11-29,01:05:09,May,-144.540116,49.434565
48,Volkswagen,3.3,195,235.9,340,197,72.0,4655,1884,1436,2855,3163,541,426,7,1106.2053333333333,55,507035,2023-07-13,22:57:50,Dec,-130.082905,-14.19162
49,BMW,3.2,211,353.3,345,420,77.0,4471,1842,1401,2757,2675,574,451,4,1786.2294999999997,88,762433,2022-02-21,18:05:37,Jun,96.533488,-81.602438
50,Tesla,6.8,299,300.6,349,225,74.9,4317,1857,1429,2765,2659,426,505,4,1516.1371666666666,67,392320,2021-07-09,21:47:39,Aug,-115.989309,63.346725
51,BMW,4.3,243,326.4,403,411,80.4,4561,1878,1445,2831,2656,447,449,4,1224.9767666666667,80,403748,2024-03-30,13:36:28,Dec,95.277632,-74.757647
52,Polestar,3.7,220,399.9,322,349,82.9,4757,1879,1493,2714,3174,590,442,7,1660.4112,93,584110,2023-02-21,21:01:08,Aug,-102.895001,-3.25094
53,Polestar,4.9,256,237.0,370,361,70.3,4792,1873,1487,2905,3049,608,471,7,1225.1363333333334,56,611404,2024-06-16,04:59:45,Nov,155.413244,-64.301577
54,Polestar,6.9,320,453.1,428,505,82.6,4480,1861,1458,2845,2736,560,537,4,1133.3966666666668,100,775562,2020-03-13,09:37:34,Apr,-111.734567,-55.818497
55,Tesla,3.7,224,305.0,428,332,74.1,4281,1893,1475,2835,2640,579,440,4,1654.9004,68,396951,2021-12-09,06:14:50,Apr,163.197074,-75.809132
56,Volkswagen,6.1,299,368.5,359,308,81.6,4745,1847,1432,2867,2838,492,452,5,1057.4029666666668,99,330171,2022-07-25,12:24:49,Feb,115.090419,45.067173
57,BMW,3.5,202,435.0,313,302,83.7,4283,1885,1458,2785,3158,529,463,7,1317.9107666666666,95,200692,2021-11-06,23:29:35,Mar,175.700547,66.892485
58,Polestar,3.3,203,266.2,324,218,74.7,4626,1850,1427,2762,3021,584,492,7,1021.3820000000001,57,787889,2020-06-25,08:51:57,Dec,-20.96875,-50.671319
59,Tesla,4.5,241,272.5,296,415,70.5,4624,1841,1462,2752,2818,414,457,5,1172.2472,61,414445,2021-06-05,06:37:37,Oct,71.198407,37.779842
60,BMW,5.8,282,236.6,239,314,75.0,4629,1843,1499,2846,2962,553,481,5,1240.6231333333333,50,847282,2024-05-31,16:36:23,Oct,1.440354,-54.744489
61,Tesla,6.5,310,427.8,335,277,79.1,4761,1899,1425,2718,2737,559,530,5,950.4738333333333,93,633114,2021-12-28,03:03:57,Jan,112.091568,-25.588175
62,Tesla,5.4,253,290.8,293,428,73.2,4652,1825,1401,2828,2983,561,442,7,844.5156333333333,59,508503,2024-08-23,08:00:28,Mar,-29.149809,0.370939
63,Tesla,3.1,191,372.0,221,192,80.3,4451,1828,1423,2761,2839,547,451,5,869.2788333333333,83,318346,2022-12-24,02:03:31,Feb,94.598842,18.367501
64,Volkswagen,4.8,243,384.8,383,353,83.5,4505,1811,1425,2961,2627,503,510,4,1206.5367666666666,85,873632,2024-01-23,00:58:24,Dec,143.316547,81.640336
65,Polestar,3.6,222,358.7,482,370,80.0,4494,1820,1425,2781,3094,607,506,7,1157.2375333333334,88,407804,2024-08-20,12:42:40,Nov,-78.466094,3.827902
66,Volkswagen,3.6,224,444.2,283,338,76.1,4421,1804,1461,2716,2744,575,440,4,1569.0030666666667,89,408980,2021-12-03,03:04:16,Jan,-168.857005,-86.78758
67,Polestar,8.0,354,416.3,495,441,83.2,4639,1804,1407,2749,2987,452,549,5,1942.57,89,217142,2022-11-16,11:04:18,Aug,28.293796,-38.641031
68,Volkswagen,6.0,286,351.1,316,366,77.8,4512,1858,1405,2841,2651,525,517,4,1710.8591999999996,76,559486,2022-08-22,08:34:38,Jun,-1.734355,23.281841
69,Tesla,3.1,188,380.1,389,287,78.9,4380,1831,1487,2712,2841,452,413,5,1085.0014666666666,82,989461,2022-08-28,03:08:15,Aug,45.293039,72.80352
70,Volkswagen,3.7,206,374.7,410,386,77.6,4279,1829,1452,2735,2935,638,481,7,1267.703,90,957398,2023-09-14,01:53:51,Mar,-22.46819,-35.625378
71,Polestar,5.7,282,325.6,206,178,80.2,4319,1810,1411,2706,2826,390,414,4,1013.0957333333332,82,524612,2020-03-02,02:46:43,Nov,27.812107,-28.812955
72,BMW,4.4,248,378.6,291,404,78.2,4475,1872,1420,2988,2963,456,481,5,956.3637,95,910144,2020-02-05,12:22:55,Dec,18.803664,-38.384677
73,Tesla,8.0,337,218.3,253,368,74.7,4750,1893,1465,2762,3178,600,510,7,1113.5371333333333,56,234497,2022-07-21,11:53:46,Jul,-100.50417,-10.051132
74,BMW,5.7,272,323.7,281,375,77.7,4420,1841,1472,2814,2783,585,546,5,1502.8946999999998,88,638541,2024-02-02,03:05:34,Apr,-94.004353,-18.266722
75,BMW,6.1,276,245.0,208,299,71.9,4686,1891,1404,2990,2996,421,507,5,1052.9562666666666,69,565176,2021-07-11,14:23:32,Jul,-61.247483,61.900332
76,Polestar,7.4,336,410.1,489,321,78.1,4351,1838,1431,2888,2798,571,434,4,2367.7859,86,847000,2022-05-27,04:39:16,Aug,-164.019901,9.036731
77,Volkswagen,5.1,269,474.5,327,278,79.6,4240,1816,1439,2765,3196,474,460,7,1102.4706,99,463805,2023-09-02,17:53:41,Sep,70.127495,-81.779677
78,Polestar,7.9,343,218.9,471,392,71.8,4647,1880,1454,2939,2687,437,393,4,2126.861,51,675712,2021-11-17,23:07:08,Jan,60.874555,-4.350844
79,Tesla,7.0,317,365.9,334,476,81.6,4514,1815,1433,2975,2822,561,510,4,1068.1216666666667,80,320096,2023-08-02,21:27:24,Jun,88.71579,72.388256
80,Tesla,6.3,295,318.7,244,138,70.3,4769,1842,1450,2784,2812,600,547,5,674.9504,70,118449,2020-09-11,22:27:10,Jun,135.525328,-63.398845
81,Tesla,7.2,316,409.5,239,223,75.4,4576,1891,1476,2961,2976,493,568,7,1311.6403999999998,89,700941,2023-01-10,19:36:36,Aug,-26.092345,-58.885718
82,BMW,4.8,249,329.6,295,323,78.4,4206,1875,1452,2940,3174,473,503,7,1331.5436666666665,82,230560,2020-12-10,08:45:00,Nov,115.149847,1.629392
83,Tesla,3.0,209,281.6,206,174,79.1,4381,1828,1450,2872,2934,466,451,5,1275.2757333333332,78,460557,2021-02-12,16:59:32,Nov,162.033796,-35.224105
84,Polestar,3.2,190,461.5,338,407,81.4,4663,1805,1424,2808,2851,556,400,4,1876.5701333333334,94,433249,2024-04-26,02:16:46,Aug,-28.630913,39.347964
85,BMW,4.4,239,403.8,256,267,76.3,4234,1886,1410,2774,2709,427,518,4,1355.2682666666667,82,442557,2020-07-08,13:04:18,Dec,-106.129109,-34.730763
86,Polestar,4.7,260,395.5,480,585,75.0,4227,1889,1428,2840,2973,609,550,7,2420.7360000000003,90,473041,2021-05-09,15:07:00,Sep,-14.22403,62.340582
87,Polestar,6.5,290,346.3,317,306,76.3,4391,1814,1490,2748,3085,615,422,7,939.9898333333333,84,543639,2022-10-17,10:05:05,Nov,-79.830287,-32.230569
88,Tesla,5.4,258,266.0,237,192,73.6,4553,1825,1455,2880,3191,560,448,7,976.5727,55,795779,2022-03-10,09:58:21,Mar,21.783719,60.636889
89,Tesla,7.1,326,246.8,331,356,70.1,4337,1863,1491,2787,3027,444,562,7,1684.603033333333,65,207504,2021-10-28,16:28:26,Nov,-32.291898,-76.045884
90,Volkswagen,4.4,240,366.8,425,502,78.0,4265,1805,1420,2869,2804,559,454,4,1801.1166666666668,98,431382,2021-06-05,15:22:48,May,-120.272111,31.545512
91,Tesla,7.6,331,348.0,297,409,81.4,4279,1801,1423,2859,2764,509,421,4,1176.5954000000002,94,784435,2023-09-27,06:42:45,May,-117.538207,-39.810727
92,BMW,5.0,270,494.2,237,189,78.9,4277,1836,1405,2750,2854,538,413,4,1380.3232,100,842909,2021-09-26,08:01:03,Mar,-153.185128,-77.313604
93,Polestar,6.5,300,293.9,494,502,74.7,4648,1882,1433,2909,2976,485,412,5,1533.3626000000002,66,955559,2021-01-14,10:37:10,Feb,50.555476,-84.397649
94,BMW,7.2,317,379.9,410,422,80.3,4287,1899,1436,2857,2955,486,519,7,1873.8743333333334,77,587331,2023-09-30,05:53:23,Sep,-118.062306,2.434982
95,Volkswagen,7.3,322,333.0,431,295,71.3,4421,1865,1413,2904,2843,465,509,5,1842.3295,70,393576,2022-12-20,15:01:50,Apr,-79.722501,72.154135
96,Polestar,4.9,256,271.3,433,470,71.6,4473,1860,1474,2768,2758,549,489,5,1033.8165999999999,70,158442,2021-01-04,14:06:15,Dec,29.111766,-87.324268
97,Volkswagen,3.2,194,222.0,401,428,71.4,4504,1855,1431,2824,3123,549,422,7,1288.0994,52,960374,2021-06-09,19:38:54,Sep,-101.259176,-63.566116
98,Volkswagen,3.4,192,354.6,218,206,83.2,4763,1802,1474,2903,2876,519,400,5,1053.4826,79,632871,2020-04-09,17:18:12,Aug,-163.194154,-10.10849
99,BMW,7.7,333,367.7,498,425,84.3,4479,1882,1415,2708,2768,431,518,4,1676.0554,86,738154,2020-03-07,15:54:15,Feb,-120.055814,-82.163589
100,Polestar,4.2,243,236.5,397,339,74.2,4680,1813,1430,2885,2799,406,491,5,1153.0691333333332,61,477396,2021-11-29,01:01:09,Apr,50.184889,-22.848925
101,BMW,6.6,314,369.0,355,451,79.6,4225,1889,1458,2818,2728,522,524,4,1685.1188333333332,82,975838,2020-02-21,04:35:02,Jun,-158.590384,72.125352
102,Volkswagen,5.6,273,225.9,230,324,70.8,4506,1805,1437,2908,2796,553,539,5,680.767,59,529546,2020-08-01,02:50:35,Jun,163.047638,34.210598
103,Volkswagen,7.1,327,224.4,271,356,74.0,4306,1865,1420,2990,2785,492,409,4,829.5600999999999,54,559236,2024-01-27,08:22:10,Jun,133.978185,82.54819
104,Tesla,7.8,329,348.3,218,262,76.1,4526,1823,1415,2946,3153,450,563,7,1192.3156666666669,86,433494,2021-01-28,17:22:31,May,101.428484,-19.963854
105,BMW,5.3,264,280.1,458,388,73.9,4759,1870,1430,2879,2758,580,498,4,1575.5724666666665,62,566063,2023-11-08,00:29:36,Feb,-22.621903,23.650167
106,Tesla,7.1,307,215.3,242,163,73.1,4341,1868,1409,2970,2890,420,485,4,985.0964,53,383573,2024-01-14,03:39:57,Jan,109.987131,59.724795
107,BMW,3.5,218,285.8,270,166,82.8,4383,1856,1409,2753,2882,478,445,4,825.194,81,556414,2021-12-06,01:58:18,May,10.032775,31.388304
108,BMW,7.6,329,463.1,338,501,80.6,4483,1885,1468,2853,3198,633,447,7,1073.8270000000002,98,372152,2021-09-06,23:00:52,Nov,-77.155983,-68.514237
109,Volkswagen,3.8,221,254.3,411,326,73.7,4790,1869,1466,2827,2865,465,485,5,2148.3405000000002,60,394057,2020-09-30,04:42:53,Aug,-76.431913,-36.226839
110,BMW,6.7,292,229.3,489,677,71.6,4619,1847,1429,2813,3171,455,522,7,1864.9219999999998,65,146887,2021-04-16,17:24:50,May,115.777081,-43.025997
111,Tesla,5.5,281,338.8,319,448,71.7,4637,1811,1445,2882,3055,624,480,7,1765.5624999999998,70,184483,2023-04-04,23:52:24,May,13.839295,-64.059811
112,Polestar,4.5,232,249.8,424,257,71.5,4361,1819,1480,2776,2984,575,452,7,1192.8130666666666,67,393364,2022-11-03,13:57:55,Nov,95.393128,-77.387328
113,BMW,5.3,262,285.7,457,337,79.0,4217,1871,1475,2790,2951,536,524,5,1588.553,77,993494,2023-08-17,02:34:33,Dec,-52.20201,-20.19661
114,Polestar,6.0,281,413.1,231,303,81.5,4611,1830,1473,2800,2666,458,447,4,1173.9036999999998,90,316314,2020-07-08,14:16:22,Mar,11.810618,-46.753686
115,BMW,5.7,289,345.5,298,392,80.2,4720,1862,1414,2766,2900,640,525,7,862.0633333333333,84,384874,2023-01-05,23:31:55,May,106.302327,-21.053357
116,Polestar,6.6,318,436.5,269,213,83.7,4484,1843,1464,3000,2774,474,477,4,1133.0713333333333,89,498682,2021-04-15,22:47:48,Dec,-141.318228,-74.494826
117,BMW,4.3,245,308.2,370,549,84.5,4738,1828,1446,2909,2783,401,457,4,1676.226,86,655751,2024-04-21,10:39:22,Oct,-91.314397,25.399078
118,BMW,5.0,260,390.8,234,194,78.3,4542,1884,1410,2781,2917,485,504,7,752.0432000000001,79,301041,2023-11-23,00:33:41,Feb,-118.725228,32.947203
119,BMW,5.0,246,382.8,435,353,80.9,4300,1813,1461,2969,2855,511,510,5,1287.9535,99,260227,2021-05-04,00:56:11,Mar,48.52804,-68.296004
120,Volkswagen,3.2,216,487.3,234,256,79.9,4637,1804,1424,2903,2794,557,465,5,1054.3516,98,628318,2023-07-29,06:23:26,Feb,-53.548662,69.743223
121,BMW,3.5,215,372.2,408,389,78.0,4678,1875,1426,2854,2617,470,518,4,1676.2800000000002,92,386618,2022-09-23,13:31:37,May,135.140257,-5.075344
122,Tesla,3.5,214,256.3,377,228,70.8,4745,1851,1489,2820,3043,558,428,7,1938.7533999999998,70,755456,2022-12-22,06:59:31,Sep,52.430392,18.132026
123,BMW,4.4,231,311.9,204,107,78.8,4757,1810,1478,2870,3030,619,517,7,1218.3124000000003,81,885705,2022-04-02,06:12:21,Oct,63.603252,-35.593911
124,Volkswagen,3.7,231,225.9,392,282,72.9,4285,1873,1477,2814,2972,599,544,7,1789.3847999999998,56,672939,2020-07-19,15:13:46,Sep,40.301296,63.156584
125,Polestar,3.1,209,423.5,322,315,78.4,4260,1885,1486,2835,2833,523,471,5,1389.6009333333332,93,522236,2020-03-27,01:46:04,Sep,-80.439274,3.56655
126,Volkswagen,5.7,272,264.4,490,568,72.5,4330,1857,1404,2934,3132,577,538,7,1759.877,67,828718,2022-03-20,20:15:35,Dec,164.908441,-82.350025
127,Volkswagen,4.2,243,472.3,232,263,79.1,4428,1830,1450,2901,3048,454,482,7,884.6749333333333,95,176133,2023-07-27,20:50:45,Feb,125.813935,-38.844299
128,BMW,7.1,303,250.5,432,612,70.4,4509,1837,1500,2752,3189,481,560,7,2019.896,55,344776,2024-01-17,22:20:37,Sep,-83.496739,38.458713
129,BMW,4.8,257,363.8,358,492,83.3,4794,1843,1430,2874,2635,443,445,4,1716.4164,75,927826,2023-11-26,03:18:08,Sep,-83.357638,-29.848565
130,BMW,5.0,245,205.3,357,185,74.5,4408,1898,1432,2899,2961,537,556,7,1990.4506999999999,58,371380,2022-06-04,20:51:13,Nov,178.178356,11.844027
131,BMW,6.9,316,270.7,386,505,73.7,4452,1867,1445,2951,2970,429,503,5,1413.2624666666666,67,253652,2021-10-22,09:35:35,Jun,167.262205,20.205509
132,Polestar,4.9,266,380.5,498,552,83.5,4425,1833,1462,2918,2912,481,467,5,1209.0816,77,955461,2022-12-24,03:44:22,Nov,20.414175,-17.774873
133,BMW,7.0,308,445.4,294,379,83.4,4232,1880,1443,2997,3005,576,561,7,1769.0596,91,675825,2023-01-16,06:57:27,Oct,135.706571,-75.549854
134,Tesla,7.8,339,300.1,349,248,73.8,4705,1858,1494,2938,3001,638,489,7,1581.0509666666667,73,538647,2024-10-05,02:46:36,Aug,-131.259167,-63.93073
135,Tesla,5.5,267,443.1,498,681,80.0,4415,1892,1435,2791,3040,527,543,7,2718.0896,94,950794,2022-06-26,14:34:00,Mar,106.521142,-59.415025
136,Volkswagen,6.4,310,247.3,264,362,74.8,4470,1866,1484,2943,2786,401,458,5,1388.192,59,810701,2024-01-24,12:06:50,Aug,70.061599,44.535752
137,Volkswagen,5.5,282,366.6,393,519,82.1,4487,1833,1403,2808,2775,458,524,4,1024.9987,77,861619,2020-09-01,06:33:37,Nov,-12.52087,6.420689
138,BMW,4.4,225,233.6,296,408,74.0,4240,1818,1444,2996,2695,472,499,4,1421.2072,63,821738,2020-05-22,07:40:49,Jun,-105.423697,40.52087
139,Volkswagen,3.2,207,191.5,441,285,73.3,4520,1896,1461,3000,3118,572,530,7,1313.4086,53,717455,2023-05-01,01:09:19,Jul,-6.176023,-32.147565
140,Polestar,5.4,264,335.8,215,116,82.8,4317,1895,1430,2999,2855,532,550,5,1316.9375,90,315878,2024-02-14,02:41:52,Sep,90.379768,-25.246203
141,Volkswagen,3.1,213,345.2,388,470,73.7,4382,1863,1433,2854,2908,525,528,5,1603.2405333333331,72,353913,2024-08-27,05:36:29,Nov,136.739046,-30.224582
142,Volkswagen,5.0,261,430.3,452,566,81.1,4327,1855,1443,2950,2869,510,438,5,2215.7630666666664,92,286244,2021-01-25,19:04:24,Jul,-102.759462,43.584462
143,Volkswagen,5.3,276,414.1,308,158,83.4,4765,1839,1466,2932,2865,475,409,5,1308.134,95,256012,2023-11-17,23:37:46,Sep,-145.678857,-41.120255
144,BMW,6.7,319,266.3,294,396,71.2,4215,1836,1419,2731,2754,536,538,5,1147.3663999999999,72,322244,2024-01-08,01:32:00,Dec,119.124317,-31.732239
145,Polestar,5.7,286,407.1,302,383,82.4,4779,1892,1438,2817,3039,465,454,7,1356.415,92,865471,2022-06-05,09:28:15,Nov,165.498386,-39.690344
146,BMW,3.3,194,331.4,424,224,71.1,4530,1801,1494,2851,3086,477,452,7,2293.036533333333,70,790197,2020-06-14,08:08:15,Aug,-42.930517,61.998145
147,Volkswagen,8.0,336,446.5,217,118,82.5,4796,1820,1480,2799,3010,467,493,7,1298.2393666666667,90,690186,2023-09-24,09:41:17,Nov,-158.321773,-59.377285
148,Polestar,3.5,213,242.1,392,283,72.5,4700,1888,1483,2999,2867,414,399,4,1522.5426666666667,61,637016,2023-07-20,14:30:58,Nov,82.38666,24.690449
149,Tesla,7.1,329,245.7,217,113,70.2,4741,1900,1484,2715,2768,408,422,4,651.8157000000001,61,864861,2021-08-30,05:51:31,Sep,-15.672942,-30.019609
150,Polestar,6.9,327,347.3,436,354,80.1,4333,1860,1410,2829,2643,536,465,4,1970.9884,93,341302,2024-08-08,08:38:47,Mar,-161.674722,34.414004
151,Polestar,6.2,302,284.5,356,273,74.3,4761,1888,1424,2861,2726,537,548,5,1774.8073333333334,57,816415,2024-08-24,09:27:46,Jun,3.827881,-20.390821
152,Tesla,4.1,222,391.0,472,378,80.0,4757,1890,1452,2785,2958,475,538,7,1837.5394666666666,89,875381,2023-06-10,02:01:00,Dec,115.624899,-3.320508
153,Volkswagen,4.1,233,243.2,311,162,74.6,4668,1876,1409,2874,2780,580,518,4,1297.0628666666667,61,141849,2020-06-27,17:29:30,Oct,-108.799342,50.19626
154,Tesla,4.1,217,394.4,422,224,77.6,4243,1862,1422,2945,2862,464,522,4,1179.8418000000001,91,501337,2022-03-06,00:38:24,Jun,111.872793,-49.001318
155,Volkswagen,6.3,284,227.4,301,320,73.2,4797,1809,1481,2792,2875,582,518,5,950.3969000000001,62,687386,2023-01-13,05:03:58,Oct,-160.64101,-88.239163
156,BMW,7.0,324,275.2,347,389,74.3,4464,1819,1466,2908,2695,517,509,4,1324.2453,67,358737,2020-02-21,08:03:20,May,98.238944,-81.601874
157,Volkswagen,5.3,265,298.0,433,504,79.5,4225,1873,1437,2975,2780,521,461,5,2114.3248000000003,84,140561,2021-09-11,13:41:42,Jun,25.868432,-64.106332
158,BMW,3.5,221,308.9,409,581,77.0,4310,1822,1442,2942,2805,448,393,4,1493.6806333333332,83,285305,2022-09-04,00:22:59,Jun,128.808806,58.998259
